id,name,host_id,host_since,host_location,host_response_time,host_response_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
36103228,Cozy bsmt unit with P/parking nr DC& Silver Spring,178862260,3/16/18,US,within an hour,100%,t,Brightwood,4,4,t,t,,38.96677,-77.02778,Entire apartment,Entire home/apt,2,,1 bath,1,1,$99.00 ,2,30,2,2,1125,1125,2,1125,,55,0,0,0,,,,,,,,,,t,4,
36107557,Cozy Deanwood Apartment Oasis,209151231,8/12/18,"Washington, District of Columbia, United States",within an hour,90%,t,Hillbrook,0,0,t,t,"Washington, District of Columbia, United States",38.89585,-76.92905,Entire apartment,Entire home/apt,4,,1 bath,1,4,$65.00 ,3,1125,2,3,1125,1125,2.9,1125,,340,22,14,1,7/18/19,8/23/20,95,9,10,9,10,9,9,f,1,1.52
36107609,Modern & Walkable DC Basement Apt - 1 bed | 1 ba,10532814,12/9/13,"Washington, District of Columbia, United States",within an hour,98%,f,Columbia Heights,1,1,t,t,"Washington, District of Columbia, United States",38.93887,-77.02857,Entire guesthouse,Entire home/apt,6,,1 bath,1,3,$65.00 ,1,30,1,1,1125,1125,1,1125,,339,61,55,5,8/15/19,9/13/20,90,10,9,10,10,10,9,f,2,4.53
36109968,"Capitol Hill Hotel, Junior Suite Queen",268355135,6/13/19,US,within an hour,92%,f,Capitol Hill,7,7,t,t,,38.88604,-77.00369,Room in boutique hotel,Private room,2,,1 private bath,1,1,$142.00 ,1,1125,1,3,1125,1125,1,1125,,241,1,1,0,3/2/20,3/2/20,60,10,10,6,8,10,8,t,7,0.15
36113616,Historic Penthouse. Parking & Grand rooftop!  U St,264990197,5/29/19,"Washington, District of Columbia, United States",within an hour,100%,f,Mount Vernon Square,5,5,t,t,"Washington, District of Columbia, United States",38.91124,-77.01891,Entire loft,Entire home/apt,8,,2 baths,3,5,$393.00 ,3,59,3,3,59,59,3,59,,58,4,4,0,10/6/19,3/8/20,100,10,9,10,10,10,10,f,4,0.34
36117208,101 Cozy Private Room in CoHi DC Sleeps 4!,26389480,1/20/15,"Washington, District of Columbia, United States",within an hour,100%,f,Columbia Heights,42,42,t,t,,38.92818,-77.03048,Private room in townhouse,Private room,4,,2 shared baths,1,4,$62.00 ,1,1125,1,1,1125,1125,1,1125,,80,2,1,0,8/4/19,2/16/20,90,10,8,10,10,10,9,t,17,0.14
36117343,101J Cozy Shared Room in CoHi DC! (FEMALE ONLY),26389480,1/20/15,"Washington, District of Columbia, United States",within an hour,100%,f,Columbia Heights,42,42,t,t,,38.9264,-77.0302,Shared room in townhouse,Shared room,1,,2 shared baths,1,4,$29.00 ,1,1125,1,1,1125,1125,1,1125,,90,3,0,0,7/25/19,8/4/19,93,9,9,9,9,9,9,t,17,0.21
36117442,101K Cozy Shared Room in CoHi DC! (FEMALE ONLY),26389480,1/20/15,"Washington, District of Columbia, United States",within an hour,100%,f,Columbia Heights,42,42,t,t,,38.92695,-77.03057,Shared room in townhouse,Shared room,1,,2 shared baths,1,4,$29.00 ,1,1125,1,1,1125,1125,1,1125,,90,7,5,1,8/4/19,8/30/20,77,8,7,8,8,9,8,t,17,0.51
36128666,"New, Furnished 1br Apt, Quiet & Uber/Lyft Anywhere",235564229,1/9/19,"Washington, District of Columbia, United States",within a few hours,100%,f,Petworth,1,1,t,t,"Washington, District of Columbia, United States",38.95416,-77.02329,Entire apartment,Entire home/apt,2,,1 bath,1,2,$145.00 ,1,3,1,1,3,3,1,3,,51,3,1,0,7/13/19,2/16/20,93,10,10,10,10,10,9,t,1,0.21
36131321,Spacious 2BR Apartment Near Gallaudet & H Street,91153294,8/21/16,US,within an hour,90%,f,Trinidad,1,1,t,f,"Washington, District of Columbia, United States",38.90516,-76.98515,Entire apartment,Entire home/apt,5,,1 bath,2,2,$80.00 ,28,1125,1,28,1125,1125,11.5,1125,,41,27,18,0,7/5/19,8/8/20,87,9,9,10,10,8,9,f,1,1.82
